make,price,mileage,gear,fuel,hp
"BMW 118 
i Advantage Head-Up DAB LED WLAN Tempomat","€ 27,480.-","11,785 km",Manual,Gasoline,100 kW (136 hp)
"BMW 116 
i Lim. Navi LED Tempomat Sitzh el.Heckkl 2-Z","€ 21,250.-","10,200 km",Manual,Gasoline,80 kW (109 hp)
"BMW 118 
i+Navi+Temp+SHZ+digitales Cockpit+USB+PDCv+h","€ 23,930.-","9,800 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage PDC Sitzhzg. Vorn Lederlenkrad","€ 21,830.-","27,096 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i PDC Klimaautomatik Comfort SHZ Tempomat","€ 21,999.-","27,006 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage LiveCockpit+LED+SHZ+Comfort Paket","€ 24,832.-","13,300 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i Advantage PDC+GBA+Sitzhzg.+Lederlenkrad","€ 23,850.-","6,671 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i Advantage Lim. (F40)","€ 25,490.-","14,406 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
i *LIVE COCKPIT*LED*NAVI*PANORAMADACH*SHZ*","€ 26,900.-","19,500 km",Manual,Gasoline,100 kW (136 hp)
"BMW 118 
i M-Sport.*Panoramadach*Live Cockpit Plus*17""*LED","€ 28,990.-","22,764 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
118i Advantage*NAVI*LED*HEAD-UP*","€ 21,160.-","25,008 km",Manual,Gasoline,103 kW (140 hp)
"BMW 118 
Lim. Advantage*NAVI*FSPE*DAB*TEMP*PDC*LED*","€ 22,280.-","15,950 km",Manual,Gasoline,103 kW (140 hp)
